"zone","area","sub-area","pole","latitude","longitude","configid","configname","time_start","time_end","time_limit","days_in_operation","price","mobile_pay","multi_space","restrictions"
"Spares","Spares","Spares","Spares (San Diego CA)","32.715329000","-117.157255000","63","San Diego Default","","","","","","","",""
"Downtown","Core - Columbia","1000 SECOND AVE","2-1014","32.716327000","-117.162596000","57001","Downtown MK5 – 30 Min Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC, (Sensor Courtesy)","8am","8pm","30 min","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","1000 SECOND AVE","2-1016","32.716370000","-117.162933000","57001","Downtown MK5 – 30 Min Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC, (Sensor Courtesy)","8am","8pm","30 min","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","1000 SECOND AVE","2-1018","32.716393000","-117.162453000","57001","Downtown MK5 – 30 Min Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC, (Sensor Courtesy)","8am","8pm","30 min","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","100 A ST","A-106","32.718846000","-117.163056000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","100 A ST","A-108","32.718844000","-117.163019000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","100 A ST","A-110","32.718978000","-117.163019000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","100 A ST","A-112","32.718987000","-117.162854000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","100 ASH ST","AH-109","32.719860000","-117.163252000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","100 ASH ST","AH-111","32.719884000","-117.163274000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","100 ASH ST","AH-113","32.719945000","-117.163039000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","1000 SEVENTH AVE","7-1000E","32.716021122","-117.158270850","13180","Downtown MS1 PPD - 2 Hour Max $2.50 HR 8am-8pm Mon-Sat (NFC)","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","1300 FIRST AVE","1-1313","32.719306000","-117.164399000","58016","Downtown Travel Lane MK5 - 2 Hour Max $2.50 HR, 8am-4pm, Mon-Fri, No Parking 4pm-6pm Mon-Fri, 2 Hour Max 6pm-8pm Mon-Fri, 8am-8pm Sat, Prepay, NFC","8am","4pm","2 hour","Mon-Fri","$2.50 HR","","","Y"
"Downtown","Core - Columbia","1300 FIRST AVE","1-1315","32.719407000","-117.164024000","58016","Downtown Travel Lane MK5 - 2 Hour Max $2.50 HR, 8am-4pm, Mon-Fri, No Parking 4pm-6pm Mon-Fri, 2 Hour Max 6pm-8pm Mon-Fri, 8am-8pm Sat, Prepay, NFC","8am","4pm","2 hour","Mon-Fri","$2.50 HR","","","Y"
"Downtown","Core - Columbia","1300 FIRST AVE","1-1317","32.719515000","-117.164249000","58016","Downtown Travel Lane MK5 - 2 Hour Max $2.50 HR, 8am-4pm, Mon-Fri, No Parking 4pm-6pm Mon-Fri, 2 Hour Max 6pm-8pm Mon-Fri, 8am-8pm Sat, Prepay, NFC","8am","4pm","2 hour","Mon-Fri","$2.50 HR","","","Y"
"Downtown","Core - Columbia","1300 SECOND AVE","2-1316","32.718962000","-117.161863000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","1300 SECOND AVE","2-1318","32.719527000","-117.162985000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","1300 SECOND AVE","2-1320","32.719628000","-117.162973000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","1300 SECOND AVE","2-1322","32.719662000","-117.163034000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","1400 UNION ST","U-1403","32.720078581","-117.165580540","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","1400 UNION ST","U-1415","32.720333577","-117.165578193","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","1100 FRONT ST","FR-1102","32.717210000","-117.164147000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","1100 FRONT ST","FR-1104","32.716860000","-117.164713000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","1200 FRONT ST","FR-1207","32.718184000","-117.164651000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","1200 FRONT ST","FR-1209","32.718318000","-117.164652000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","1200 FRONT ST","FR-1211","32.718433000","-117.164653000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","400 B ST","B-402","32.717870833","-117.160883521","56998","Downtown MK5 - 1 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","1 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","400 B ST","B-404","32.717872296","-117.160803002","56998","Downtown MK5 - 1 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","1 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Core - Columbia","400 B ST","B-406","32.717874232","-117.160727901","56998","Downtown MK5 - 1 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","1 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Cortez","1500 FRONT ST","FR-1500W","32.721478790","-117.164859026","57460","Downtown MSPM PBP - 2 Hour Max $2.50 HR 8am-8pm Mon-Sat (NFC)","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","Y",""
"Downtown","Cortez","1500 FRONT ST","FR-1500E","32.721550436","-117.164705470","57460","Downtown MSPM PBP - 2 Hour Max $2.50 HR 8am-8pm Mon-Sat (NFC)","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","Y",""
"Downtown","Cortez","800 ASH ST","AH-800S","32.719835996","-117.157074920","59117","Downtown MS3 - 2 Hour Max $2.50 HR 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Cortez","200 A ST","A-206","32.718919000","-117.162516000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Cortez","200 A ST","A-208","32.718920000","-117.162450000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
"Downtown","Cortez","200 A ST","A-210","32.718921000","-117.162301000","57004","Downtown MK5 - 2 Hour Max $2.50 HR, 8am-8pm, Mon-Sat, Prepay, NFC","8am","8pm","2 hour","Mon-Sat","$2.50 HR","","",""
